id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1320007,Dehiwala-Mount Lavinia Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.8769050740155, 'latitude': 6.839279414000174, 'srid': 4326}",co2e_20yr,28392.97096,3.919342350813654e-05,t of CO2e_20yr per MJ,724432019.8031598,MJ,84825855.48036002,m^2,8.540226511,2024
1320076,Beruwala Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.00762736925, 'latitude': 6.492249966000031, 'srid': 4326}",co2e_20yr,28367.40589,8.373778982295639e-05,t of CO2e_20yr per MJ,338764683.78226995,MJ,39666942.86,m^2,8.540226680661148,2024
1320014,Moratuwa Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.88632592802558, 'latitude': 6.767218505500124, 'srid': 4326}",co2e_20yr,27590.54807,5.3271919975711366e-05,t of CO2e_20yr per MJ,517919160.4,MJ,60644663.227199994,m^2,8.540226506451864,2024
1320037,Biyagama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.97720324356322, 'latitude': 6.971884965500037, 'srid': 4326}",co2e_20yr,27364.96086000001,3.5699971211908786e-05,t of CO2e_20yr per MJ,766526132.4,MJ,89754776.58924001,m^2,8.540226621163834,2024
1320233,Embilipitiya Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.8022962597031, 'latitude': 6.360972167000056, 'srid': 4326}",co2e_20yr,25094.804,0.000123217,t of CO2e_20yr per MJ,203662908.6,MJ,23847482.93,m^2,8.540226623314075,2024
1320025,Galle Four Gravets Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.21850712425797, 'latitude': 6.0586130625001715, 'srid': 4326}",co2e_20yr,25081.966614999998,4.7616987105119594e-05,t of CO2e_20yr per MJ,526744091.5492799,MJ,61677998.919360004,m^2,8.540226673663064,2024
1320045,Minuwangoda Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.98165152340084, 'latitude': 7.154860020500079, 'srid': 4326}",co2e_20yr,24852.88094,7.81230791898533e-05,t of CO2e_20yr per MJ,318124697.5,MJ,37250147.03,m^2,8.540226625775729,2024
1320046,Mirigama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.13940442899471, 'latitude': 7.232520342000157, 'srid': 4326}",co2e_20yr,24600.138639999997,0.000135456,t of CO2e_20yr per MJ,181610073.82259002,MJ,21265252.292279992,m^2,8.540226625409971,2024
1320047,Negombo Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.85208351355598, 'latitude': 7.229357699500098, 'srid': 4326}",co2e_20yr,23626.10702,4.652760637153604e-05,t of CO2e_20yr per MJ,507786857.3,MJ,59458241.77,m^2,8.540226588,2024
1320038,Divulapitiya Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.01476999712247, 'latitude': 7.25603079800004, 'srid': 4326}",co2e_20yr,23290.712784999996,0.000139832,t of CO2e_20yr per MJ,166562695.8,MJ,19503310.956480004,m^2,8.540226637891926,2024
1320043,Kelaniya Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.91158431411404, 'latitude': 6.97458171900007, 'srid': 4326}",co2e_20yr,23147.568225000003,3.7246876003124323e-05,t of CO2e_20yr per MJ,621463347,MJ,72768952.18343998,m^2,8.540226680759137,2024
1320039,Dompe Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.10641268051631, 'latitude': 6.988473177500111, 'srid': 4326}",co2e_20yr,21964.449415000003,8.074794626697907e-05,t of CO2e_20yr per MJ,272012483.7,MJ,31850733.755879994,m^2,8.540226600451977,2024
1320107,Yatinuwara Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.54201454578575, 'latitude': 7.2817881110001395, 'srid': 4326}",co2e_20yr,21918.202325000002,0.000107212,t of CO2e_20yr per MJ,204438120.48953998,MJ,23938254.436679993,m^2,8.540226733336267,2024
1320114,Mawanella Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.49468969131873, 'latitude': 7.223319531000042, 'srid': 4326}",co2e_20yr,21259.60764,0.000120892,t of CO2e_20yr per MJ,175856766.72855002,MJ,20591580.765840005,m^2,8.540226645459105,2024
1320095,Kundasale Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.69777558197683, 'latitude': 7.306353092000136, 'srid': 4326}",co2e_20yr,21148.99873,7.60603357275498e-05,t of CO2e_20yr per MJ,278055553.2,MJ,32558334.342360005,m^2,8.540226605142266,2024
1320178,Matara Four Gravets Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.55415124757833, 'latitude': 5.96529460000005, 'srid': 4326}",co2e_20yr,20492.122359999998,4.091782874574207e-05,t of CO2e_20yr per MJ,500811577.5,MJ,58641485.90892002,m^2,8.540226593647946,2024
1320016,Sri Jayawardanapura Kotte Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.90082711796325, 'latitude': 6.890312433000077, 'srid': 4326}",co2e_20yr,20394.05392,4.0533328362118034e-05,t of CO2e_20yr per MJ,503142839.33958995,MJ,58914459.9,m^2,8.540226629622728,2024
